"time","root.devdb.i483.sensors.s2510030.SCD41.co2"
2025-06-05 15:18:47,1033
2025-06-05 15:19:02,1032
2025-06-05 15:19:17,1031
2025-06-05 15:19:32,1030
2025-06-05 15:19:48,1032
2025-06-05 15:20:03,1032
2025-06-05 15:20:18,1032
2025-06-05 15:20:33,1031
2025-06-05 15:20:49,1032
2025-06-05 15:21:04,1030
2025-06-05 15:21:19,1029
2025-06-05 15:21:34,1029
2025-06-05 15:21:49,1029
2025-06-05 15:22:05,1029
2025-06-05 15:22:20,1028
2025-06-05 15:22:35,1027
2025-06-05 15:22:50,1025
2025-06-05 15:23:06,1022
2025-06-05 15:23:21,1022
2025-06-05 15:23:36,1020
2025-06-05 15:23:51,1019
2025-06-05 15:24:06,1017
2025-06-05 15:24:22,1016
2025-06-05 15:24:37,1015
2025-06-05 15:24:52,1014
2025-06-05 15:25:07,1012
2025-06-05 15:25:23,1011
2025-06-05 15:25:38,1011
2025-06-05 15:25:53,1011
2025-06-05 15:26:08,1010
2025-06-05 15:26:23,1009
2025-06-05 15:26:39,1008
2025-06-05 15:26:54,1007
2025-06-05 15:27:09,1007
2025-06-05 15:27:24,1004
2025-06-05 15:27:39,1004
2025-06-05 15:27:55,1003
2025-06-05 15:28:10,1003
2025-06-05 15:28:25,1002
2025-06-05 15:28:40,1001
2025-06-05 15:28:56,1001
2025-06-05 15:29:11,1001
2025-06-05 15:29:26,1001
2025-06-05 15:29:41,1000
2025-06-05 15:29:56,999
